avg_cluster_size	consistency	t	combo
885	0.26795354798617316	1.3973057270050049	ba + he + hy
890	0.26795354798617316	1.409832239151001	ba + he + hy
895	0.27855672505534623	1.3993780612945557	ba + he + hy
900	0.27855672505534623	1.5525407791137695	ba + he + hy
905	0.27855672505534623	1.333723545074463	ba + he + hy
910	0.27855672505534623	1.3207108974456787	ba + he + hy
915	0.27855672505534623	1.364389419555664	ba + he + hy
920	0.27855672505534623	1.4251651763916016	ba + he + hy
925	0.26686604264574515	1.4165196418762207	ba + he + hy
930	0.26686604264574515	1.4317491054534912	ba + he + hy
935	0.26686604264574515	1.4196515083312988	ba + he + hy
940	0.26686604264574515	1.4568374156951904	ba + he + hy
945	0.26686604264574515	1.3467352390289307	ba + he + hy
950	0.26686604264574515	1.3302817344665527	ba + he + hy
955	0.26944886782926164	1.3265368938446045	ba + he + hy
960	0.26944886782926164	1.3384435176849365	ba + he + hy
965	0.26944886782926164	1.3417072296142578	ba + he + hy
970	0.26944886782926164	1.3462464809417725	ba + he + hy
